,WALCL,RRP,TGA,BTC,OIL,DXY,GOLD,HYG,SPY,MOVE,US10Y,VIX
2025-03-16,6759571.0,126.234,512581.0,82579.6875,67.18000030517578,103.72000122070312,2994.5,78.87999725341797,562.8099975585938,101.01000213623047,4.308000087738037,21.770000457763672
2025-03-17,6759571.0,89.496,512581.0,84075.6875,67.58000183105469,103.37000274658203,3000.0,79.06999969482422,567.1500244140625,99.77999877929688,4.306000232696533,20.510000228881836
2025-03-18,6759571.0,149.503,512581.0,82718.5,66.9000015258789,103.23999786376953,3035.10009765625,78.93000030517578,561.02001953125,96.68000030517578,4.281000137329102,21.700000762939453
2025-03-19,6755982.0,193.378,435936.0,86854.2265625,67.16000366210938,103.43000030517578,3035.89990234375,79.44999694824219,567.1300048828125,91.4000015258789,4.25600004196167,19.899999618530273
2025-03-20,6755982.0,192.64,435936.0,84167.1953125,68.26000213623047,103.8499984741211,3040.0,79.33999633789062,565.489990234375,95.73999786376953,4.232999801635742,19.799999237060547
2025-03-21,6755982.0,200.85,435936.0,84043.2421875,68.27999877929688,104.08999633789062,3018.199951171875,79.22000122070312,563.97998046875,94.54000091552734,4.251999855041504,19.280000686645508
2025-03-22,6755982.0,200.85,435936.0,83832.484375,68.27999877929688,104.08999633789062,3018.199951171875,79.22000122070312,563.97998046875,94.54000091552734,4.251999855041504,19.280000686645508
2025-03-23,6755982.0,200.85,435936.0,86054.375,68.27999877929688,104.08999633789062,3018.199951171875,79.22000122070312,563.97998046875,94.54000091552734,4.251999855041504,19.280000686645508
2025-03-24,6755982.0,196.565,435936.0,87498.9140625,69.11000061035156,104.26000213623047,3013.10009765625,79.44999694824219,574.0800170898438,95.22000122070312,4.330999851226807,17.479999542236328
2025-03-25,6755982.0,214.786,435936.0,87471.703125,69.0,104.18000030517578,3023.699951171875,79.41000366210938,575.4600219726562,93.56999969482422,4.307000160217285,17.149999618530273
2025-03-26,6740253.0,241.371,360177.0,86900.8828125,69.6500015258789,104.55000305175781,3020.89990234375,79.08999633789062,568.5900268554688,91.41000366210938,4.3379998207092285,18.329999923706055
2025-03-27,6740253.0,291.785,360177.0,87177.1015625,69.91999816894531,104.06999969482422,3060.199951171875,78.94000244140625,567.0800170898438,91.02999877929688,4.36899995803833,18.690000534057617
2025-03-28,6740253.0,286.575,360177.0,84353.1484375,69.36000061035156,104.04000091552734,3086.5,78.80000305175781,555.6599731445312,96.83000183105469,4.255000114440918,21.649999618530273
2025-03-29,6740253.0,286.575,360177.0,82597.5859375,69.36000061035156,104.04000091552734,3086.5,78.80000305175781,555.6599731445312,96.83000183105469,4.255000114440918,21.649999618530273
2025-03-30,6740253.0,286.575,360177.0,82334.5234375,69.36000061035156,104.04000091552734,3086.5,78.80000305175781,555.6599731445312,96.83000183105469,4.255000114440918,21.649999618530273
2025-03-31,6740253.0,399.167,360177.0,82548.9140625,71.4800033569336,104.20999908447266,3122.800048828125,78.88999938964844,559.3900146484375,101.3499984741211,4.245999813079834,22.280000686645508
2025-04-01,6740253.0,230.063,360177.0,85169.171875,71.19999694824219,104.26000213623047,3118.89990234375,78.69000244140625,560.969970703125,104.7300033569336,4.156000137329102,21.770000457763672
2025-04-02,6723452.0,233.488,313326.0,82485.7109375,71.70999908447266,103.80999755859375,3139.89990234375,78.8499984741211,564.52001953125,106.38999938964844,4.196000099182129,21.510000228881836
